"","Package","LibPath","Version","Priority","Built"
"1","assertthat","C:/Users/Camille/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"2","backports","C:/Users/Camille/Documents/R/win-library/3.4","1.1.2",NA,"3.4.3"
"3","base64enc","C:/Users/Camille/Documents/R/win-library/3.4","0.1-3",NA,"3.4.1"
"4","BH","C:/Users/Camille/Documents/R/win-library/3.4","1.65.0-1",NA,"3.4.1"
"5","bindr","C:/Users/Camille/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"6","bindrcpp","C:/Users/Camille/Documents/R/win-library/3.4","0.2",NA,"3.4.3"
"7","bitops","C:/Users/Camille/Documents/R/win-library/3.4","1.0-6",NA,"3.4.1"
"8","broom","C:/Users/Camille/Documents/R/win-library/3.4","0.4.3",NA,"3.4.3"
"9","caTools","C:/Users/Camille/Documents/R/win-library/3.4","1.17.1",NA,"3.4.3"
"10","cellranger","C:/Users/Camille/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"11","cli","C:/Users/Camille/Documents/R/win-library/3.4","1.0.0",NA,"3.4.3"
"12","clipr","C:/Users/Camille/Documents/R/win-library/3.4","0.4.0",NA,"3.4.3"
"13","clisymbols","C:/Users/Camille/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"14","colorspace","C:/Users/Camille/Documents/R/win-library/3.4","1.3-2",NA,"3.4.3"
"15","crayon","C:/Users/Camille/Documents/R/win-library/3.4","1.3.4",NA,"3.4.3"
"16","curl","C:/Users/Camille/Documents/R/win-library/3.4","3.1",NA,"3.4.3"
"17","DBI","C:/Users/Camille/Documents/R/win-library/3.4","0.7",NA,"3.4.3"
"18","dbplyr","C:/Users/Camille/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"19","debugme","C:/Users/Camille/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"20","desc","C:/Users/Camille/Documents/R/win-library/3.4","1.1.1",NA,"3.4.3"
"21","devtools","C:/Users/Camille/Documents/R/win-library/3.4","1.13.4",NA,"3.4.3"
"22","dichromat","C:/Users/Camille/Documents/R/win-library/3.4","2.0-0",NA,"3.4.1"
"23","digest","C:/Users/Camille/Documents/R/win-library/3.4","0.6.14",NA,"3.4.3"
"24","dplyr","C:/Users/Camille/Documents/R/win-library/3.4","0.7.4",NA,"3.4.3"
"25","enc","C:/Users/Camille/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"26","evaluate","C:/Users/Camille/Documents/R/win-library/3.4","0.10.1",NA,"3.4.3"
"27","forcats","C:/Users/Camille/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"28","fs","C:/Users/Camille/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"29","ggplot2","C:/Users/Camille/Documents/R/win-library/3.4","2.2.1",NA,"3.4.3"
"30","gh","C:/Users/Camille/Documents/R/win-library/3.4","1.0.1",NA,"3.4.3"
"31","git2r","C:/Users/Camille/Documents/R/win-library/3.4","0.21.0",NA,"3.4.3"
"32","glue","C:/Users/Camille/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"33","gtable","C:/Users/Camille/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"34","haven","C:/Users/Camille/Documents/R/win-library/3.4","1.1.1",NA,"3.4.3"
"35","here","C:/Users/Camille/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"36","highr","C:/Users/Camille/Documents/R/win-library/3.4","0.6",NA,"3.4.3"
"37","hms","C:/Users/Camille/Documents/R/win-library/3.4","0.4.1",NA,"3.4.3"
"38","htmltools","C:/Users/Camille/Documents/R/win-library/3.4","0.3.6",NA,"3.4.3"
"39","httr","C:/Users/Camille/Documents/R/win-library/3.4","1.3.1",NA,"3.4.3"
"40","ini","C:/Users/Camille/Documents/R/win-library/3.4","0.3.0",NA,"3.4.3"
"41","jsonlite","C:/Users/Camille/Documents/R/win-library/3.4","1.5",NA,"3.4.3"
"42","knitr","C:/Users/Camille/Documents/R/win-library/3.4","1.18",NA,"3.4.3"
"43","labeling","C:/Users/Camille/Documents/R/win-library/3.4","0.3",NA,"3.4.1"
"44","lazyeval","C:/Users/Camille/Documents/R/win-library/3.4","0.2.1",NA,"3.4.3"
"45","lubridate","C:/Users/Camille/Documents/R/win-library/3.4","1.7.1",NA,"3.4.3"
"46","magrittr","C:/Users/Camille/Documents/R/win-library/3.4","1.5",NA,"3.4.3"
"47","markdown","C:/Users/Camille/Documents/R/win-library/3.4","0.8",NA,"3.4.3"
"48","memoise","C:/Users/Camille/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"49","mime","C:/Users/Camille/Documents/R/win-library/3.4","0.5",NA,"3.4.1"
"50","mnormt","C:/Users/Camille/Documents/R/win-library/3.4","1.5-5",NA,"3.4.1"
"51","modelr","C:/Users/Camille/Documents/R/win-library/3.4","0.1.1",NA,"3.4.3"
"52","munsell","C:/Users/Camille/Documents/R/win-library/3.4","0.4.3",NA,"3.4.3"
"53","openssl","C:/Users/Camille/Documents/R/win-library/3.4","0.9.9",NA,"3.4.3"
"54","packrat","C:/Users/Camille/Documents/R/win-library/3.4","0.4.8-1",NA,"3.4.3"
"55","pillar","C:/Users/Camille/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"56","pkgconfig","C:/Users/Camille/Documents/R/win-library/3.4","2.0.1",NA,"3.4.3"
"57","PKI","C:/Users/Camille/Documents/R/win-library/3.4","0.1-5.1",NA,"3.4.1"
